en_key,lang_key,ref,type,co2,classification,attribute,variety
mushroom,mushroom,mushroom,vegan,2.55,conventional,canned,canned
corn,corn,corn,vegan,1.2,conventional,canned,canned
tomato,tomato,tomato,vegan,1.87,conventional,canned,canned
beans,beans,beans,vegan,1.21,conventional,canned,canned
peas,peas,peas,vegan,1.24,conventional,canned,canned
chickpea,chickpea,chickpea,vegan,1.25,conventional,canned,canned
lentil,lentil,lentil,vegan,1.46,conventional,canned,canned
pineapple,pineapple,pineapple,vegan,1.71,conventional,canned,canned
apricot,apricot,apricot,vegan,1.7,conventional,canned,canned
peach,peach,peach,vegan,1.52,conventional,canned,canned
basil,basil,basil,vegan,3.124,conventional,dried,dried
rosemary,rosemary,rosemary,vegan,0.532,conventional,dried,dried
thyme,thyme,thyme,vegan,2.812,conventional,dried,dried
date,date,date,vegan,4.22,organic,dried,dried
tea,tea,tea,vegan,5.06,conventional,dried,dried
oregano,oregano,oregano,vegan,2.362,conventional,dried,dried
lentils,lentils,lentils,vegan,0.61,conventional,dried,dried
date,date,date,vegan,3.01,conventional,dried,dried
spice,spice,spice,vegan,0.652,conventional,fresh,fresh
basil,basil,basil,vegan,0.272,conventional,fresh,fresh
oregano,oregano,oregano,vegan,0.572,conventional,fresh,fresh
beetroot,beetroot,beetroot,vegan,0.32,conventional,fresh,fresh
date,date,date,vegan,3.56,organic,fresh,fresh
crab,crab,crab,meat,12.59,conventional,frozen,frozen
crayfish,crayfish,crayfish,meat,12.59,conventional,frozen,frozen
langostino,langostino,langostino,meat,12.59,conventional,frozen,frozen
prawns,prawns,prawns,meat,12.59,conventional,frozen,frozen
scampi,scampi,scampi,meat,12.59,conventional,frozen,frozen
shrimp,shrimp,shrimp,meat,12.59,conventional,frozen,frozen
brussel sprouts,brussel sprouts,brussel sprouts,vegan,0.59,conventional,frozen,frozen
strawberry,strawberry,strawberry,vegan,0.71,conventional,frozen,frozen
blueberry,blueberry,blueberry,vegan,0.64,conventional,frozen,frozen
raspberry,raspberry,raspberry,vegan,0.66,conventional,frozen,frozen
french fries,french fries,french fries,vegan,0.7,conventional,frozen,frozen
beetroot,beetroot,beetroot,vegan,1.36,conventional,glass,glass
red cabbage,red cabbage,red cabbage,vegan,0.96,conventional,glass,glass
kale,kale,kale,vegan,0.8,conventional,glass,glass
black eyed beans,black eyed beans,black eyed beans,vegan,0.403,conventional,fresh,
plum,plum,plum,vegan,0.22,conventional,fresh,
burger bun,burger bun,burger bun,vegetarian,0.61,conventional,fresh,
anise,anise,anise,vegan,4.526,conventional,fresh,
baking powder,baking powder,baking powder,vegan,1.504,conventional,fresh,
baking soda,baking soda,baking soda,vegan,1.249,conventional,fresh,
lemon balm,lemon balm,lemon balm,vegan,0.602,conventional,fresh,
balsamic vinegar,balsamic vinegar,balsamic vinegar,vegan,1.474,conventional,fresh,
barbecue sauce,barbecue sauce,barbecue sauce,meat,0.983,conventional,fresh,
bay leaf,bay leaf,bay leaf,vegan,0.602,conventional,fresh,
cardamom,cardamom,cardamom,vegan,0.652,conventional,fresh,
chervil,chervil,chervil,vegan,0.356,conventional,fresh,
chia seeds,chia seeds,chia seeds,vegan,0.92,conventional,fresh,
chili,chili,chili,vegan,0.681,conventional,fresh,
cinnamon,cinnamon,cinnamon,vegan,0.643,conventional,fresh,
clove,clove,clove,vegan,0.492,conventional,fresh,
cilantro,cilantro,cilantro,vegan,0.656,conventional,fresh,
cumin,cumin,cumin,vegan,0.652,conventional,fresh,
turmeric,turmeric,turmeric,vegan,0.652,conventional,fresh,
curry,curry,curry,vegan,0.652,conventional,fresh,
dill,dill,dill,vegan,0.682,conventional,fresh,
fish sauce,fish sauce,fish sauce,meat,2.388,conventional,fresh,
gelatin,gelatin,gelatin,vegetarian,0.652,conventional,fresh,
ginger,ginger,ginger,vegan,1.226,conventional,fresh,
herbs,herbs,herbs,vegan,0.652,conventional,fresh,
ketchup,ketchup,ketchup,vegan,1.352,conventional,fresh,
lemon grass,lemon grass,lemon grass,vegan,4.562,conventional,fresh,
macadamia,macadamia,macadamia,vegan,2.678,conventional,fresh,
marjoram,marjoram,marjoram,vegan,0.602,conventional,fresh,
mayonnaise,mayonnaise,mayonnaise,vegetarian,1.914,conventional,fresh,
caraway,caraway,caraway,vegan,0.642,conventional,fresh,
mustard,mustard,mustard,vegan,1.108,conventional,fresh,
mustard seeds,mustard seeds,mustard seeds,vegan,4.784,conventional,fresh,
mustard leaves,mustard leaves,mustard leaves,vegan,4.784,conventional,fresh,
nutmeg,nutmeg,nutmeg,vegan,0.367,conventional,fresh,
sesame oil,sesame oil,sesame oil,vegan,3.019,conventional,fresh,
onion powder,onion powder,onion powder,vegan,4.072,conventional,fresh,
paprika,paprika,paprika,vegan,4.274,conventional,fresh,
parsley,parsley,parsley,vegan,0.682,conventional,fresh,
pecan,pecan,pecan,vegan,2.678,conventional,fresh,
pepper,pepper,pepper,vegan,5.314,conventional,fresh,
pine nut,pine nut,pine nut,vegan,2.518,conventional,fresh,
poppy seed,poppy seed,poppy seed,vegan,0.92,conventional,fresh,
saffron,saffron,saffron,vegan,0.692,conventional,fresh,
sage,sage,sage,vegan,0.682,conventional,fresh,
salt,salt,salt,vegan,0.584,conventional,fresh,
sea salt,sea salt,sea salt,vegan,0.384,conventional,fresh,
sesame,sesame,sesame,vegan,2.612,conventional,fresh,
soy sauce,soy sauce,soy sauce,vegan,1.344,conventional,fresh,
agave syrup,agave syrup,agave syrup,vegan,0.969,conventional,fresh,
tabasco sauce,tabasco sauce,tabasco sauce,vegan,4.274,conventional,fresh,
tarragon,tarragon,tarragon,vegan,0.602,conventional,fresh,
tomatoes paste,tomatoes paste,tomatoes paste,vegan,1.732,conventional,fresh,
vanilin,vanilin,vanilin,vegan,2.267,conventional,fresh,
vanilla extract,vanilla extract,vanilla extract,vegan,13.827,conventional,fresh,
apple vinegar,apple vinegar,apple vinegar,vegan,3.284,conventional,fresh,
red wine vinegar,red wine vinegar,red wine vinegar,vegetarian,1.474,conventional,fresh,
white wine vinegar,white wine vinegar,white wine vinegar,vegetarian,1.474,conventional,fresh,
vinegar,vinegar,vinegar,vegetarian,1.5,conventional,fresh,
wasabi,wasabi,wasabi,vegan,0.835,conventional,fresh,
yeast extract,yeast extract,yeast extract,vegan,2.194,conventional,fresh,
yeast,yeast,yeast,vegan,0.754,conventional,fresh,
beer,beer,beer,vegan,0.77,conventional,fresh,
brandy,brandy,brandy,vegan,2.07,conventional,fresh,
whiskey,whiskey,whiskey,vegan,2.07,conventional,fresh,
rum,rum,rum,vegan,2.07,conventional,fresh,
cognac,cognac,cognac,vegan,2.07,conventional,fresh,
liquor,liquor,liquor,vegan,2.07,conventional,fresh,
tawny port,tawny port,tawny port,vegetarian,2.38,conventional,fresh,
wine,wine,wine,vegan,2.16,conventional,fresh,
half fat margarine,half fat margarine,half fat margarine,vegetarian,1.15,conventional,fresh,
extravirgin olive oil,extravirgin olive oil,extravirgin olive oil,vegan,3.06,conventional,fresh,
olive oil,olive oil,olive oil,vegan,3.06,conventional,fresh,
sunflower oil,sunflower oil,sunflower oil,vegan,2.24,conventional,fresh,
vegan spreadable fat,vegan spreadable fat,vegan spreadable fat,vegan,1.67,conventional,fresh,
full fat margarine,full fat margarine,full fat margarine,vegetarian,1.78,conventional,fresh,
clam,clam,clam,meat,6.29,conventional,fresh,
cockle,cockle,cockle,meat,6.29,conventional,fresh,
mussel,mussel,mussel,meat,6.29,conventional,fresh,
oyster,oyster,oyster,meat,6.29,conventional,fresh,
scallop,scallop,scallop,meat,6.29,conventional,fresh,
egg,egg,egg,vegetarian,2.04,conventional,fresh,
egg white,egg white,egg white,vegetarian,2.04,conventional,fresh,
egg yolk,egg yolk,egg yolk,vegetarian,2.04,conventional,fresh,
sausage,sausage,sausage,meat,3.62,conventional,fresh,
hot dog,hot dog,hot dog,meat,3.77,conventional,fresh,
mushroom,mushroom,mushroom,vegan,1.31,conventional,fresh,
morel,morel,morel,vegan,1.31,conventional,fresh,
porcini,porcini,porcini,vegan,1.31,conventional,fresh,
portobello,portobello,portobello,vegan,1.31,conventional,fresh,
shiitake,shiitake,shiitake,vegan,1.31,conventional,fresh,
wild mushroom,wild mushroom,wild mushroom,vegan,1.31,conventional,fresh,
lamb's lettuce,lamb's lettuce,lamb's lettuce,vegan,0.27,conventional,fresh,
collard green,collard green,collard green,vegan,0.35,conventional,fresh,
kale,kale,kale,vegan,0.35,conventional,fresh,
cherry tomato,cherry tomato,cherry tomato,vegan,0.91,conventional,fresh,
kohlrabi,kohlrabi,kohlrabi,vegan,0.43,conventional,fresh,
acorn squash,acorn squash,acorn squash,vegan,0.21,conventional,fresh,
banana squash,banana squash,banana squash,vegan,0.21,conventional,fresh,
butternut squash,butternut squash,butternut squash,vegan,0.21,conventional,fresh,
delicata squash,delicata squash,delicata squash,vegan,0.21,conventional,fresh,
gem squash,gem squash,gem squash,vegan,0.21,conventional,fresh,
hubbard squash,hubbard squash,hubbard squash,vegan,0.21,conventional,fresh,
kabocha squash,kabocha squash,kabocha squash,vegan,0.21,conventional,fresh,
pumpkin,pumpkin,pumpkin,vegan,0.21,conventional,fresh,
spaghetti squash,spaghetti squash,spaghetti squash,vegan,0.21,conventional,fresh,
chives,chives,chives,vegan,0.21,conventional,fresh,
leek,leek,leek,vegan,0.21,conventional,fresh,
brussel sprouts,brussel sprouts,brussel sprouts,vegan,0.28,conventional,fresh,
arugula,arugula,arugula,vegan,0.27,conventional,fresh,
mixed salad,mixed salad,mixed salad,vegan,0.28,conventional,fresh,
salad,salad,salad,vegan,0.28,conventional,fresh,
sweet potato,sweet potato,sweet potato,vegan,0.41,conventional,fresh,
savoy,savoy,savoy,vegan,0.3,conventional,fresh,
wholegrain bread bun,wholegrain bread bun,wholegrain bread bun,vegetarian,0.6,conventional,fresh,
wheat bread bun,wheat bread bun,wheat bread bun,vegetarian,0.62,conventional,fresh,
bread bun,bread bun,bread bun,vegetarian,0.61,conventional,fresh,
bulgur,bulgur,bulgur,vegan,0.52,conventional,fresh,
couscous,couscous,couscous,vegan,0.44,conventional,fresh,
millet,millet,millet,vegan,0.52,conventional,fresh,
crispbread,crispbread,crispbread,vegan,0.53,conventional,fresh,
egg noodle,egg noodle,egg noodle,vegetarian,0.46,conventional,fresh,
lasagna noodle,lasagna noodle,lasagna noodle,vegan,0.46,conventional,fresh,
linguine,linguine,linguine,vegan,0.46,conventional,fresh,
pasta,pasta,pasta,vegan,0.46,conventional,fresh,
wholewheat noodle,wholewheat noodle,wholewheat noodle,vegan,0.44,conventional,fresh,
toast,toast,toast,vegetarian,0.48,conventional,fresh,
wholegrain toast,wholegrain toast,wholegrain toast,vegetarian,0.46,conventional,fresh,
wholegrain bread,wholegrain bread,wholegrain bread,vegetarian,0.59,conventional,fresh,
baguette,baguette,baguette,vegan,0.61,conventional,fresh,
wheat bread,wheat bread,wheat bread,vegetarian,0.61,conventional,fresh,
bread,bread,bread,vegetarian,0.61,conventional,fresh,
all purpose flour,all purpose flour,all purpose flour,vegan,0.34,conventional,fresh,
panko,panko,panko,vegan,0.34,conventional,fresh,
whole wheat flour,whole wheat flour,whole wheat flour,vegan,0.34,conventional,fresh,
flour,flour,flour,vegan,0.34,conventional,fresh,
walnut,walnut,walnut,vegan,0.95,conventional,fresh,
brown lentils,brown lentils,brown lentils,vegan,0.61,conventional,fresh,
green lentils,green lentils,green lentils,vegan,0.61,conventional,fresh,
lentils,lentils,lentils,vegan,0.61,conventional,fresh,
cream cheese,cream cheese,cream cheese,vegetarian,5.65,conventional,fresh,
philadelphia,philadelphia,philadelphia,vegetarian,5.65,conventional,fresh,
ricotta,ricotta,ricotta,vegetarian,5.65,conventional,fresh,
low fat curd cheese,low fat curd cheese,low fat curd cheese,vegetarian,2.52,conventional,fresh,
mozzarella,mozzarella,mozzarella,vegetarian,4.34,conventional,fresh,
curd cheese,curd cheese,curd cheese,vegetarian,3.4,conventional,fresh,
whipping cream,whipping cream,whipping cream,vegetarian,4.31,conventional,fresh,
schmand,schmand,schmand,vegetarian,3.66,conventional,fresh,
blackberry,blackberry,blackberry,vegan,0.69,conventional,fresh,
fig,fig,fig,vegan,0.89,conventional,fresh,
grapefruit,grapefruit,grapefruit,vegan,0.39,conventional,fresh,
blueberry,blueberry,blueberry,vegan,0.54,conventional,fresh,
raspberry,raspberry,raspberry,vegan,1.2,conventional,fresh,
cherry,cherry,cherry,vegan,0.22,conventional,fresh,
honeyberry,honeyberry,honeyberry,vegan,0.22,conventional,fresh,
jabuticaba,jabuticaba,jabuticaba,vegan,0.22,conventional,fresh,
surinam cherry,surinam cherry,surinam cherry,vegan,0.22,conventional,fresh,
mango,mango,mango,vegan,1.73,conventional,fresh,
passion fruit,passion fruit,passion fruit,vegan,2.3,conventional,fresh,
ackee,ackee,ackee,vegan,0.22,conventional,fresh,
damson,damson,damson,vegan,0.22,conventional,fresh,
java plum,java plum,java plum,vegan,0.22,conventional,fresh,
japanese plum,japanese plum,japanese plum,vegan,0.22,conventional,fresh,
gooseberry,gooseberry,gooseberry,vegan,0.69,conventional,fresh,
watermelon,watermelon,watermelon,vegan,0.35,conventional,fresh,
icing sugar,icing sugar,icing sugar,vegan,0.49,conventional,fresh,
vegetable broth,vegetable broth,vegetable broth,vegan,1.49,conventional,fresh,
honey,honey,honey,vegetarian,1.92,conventional,fresh,
chicken broth,chicken broth,chicken broth,meat,1.51,conventional,fresh,
coconut milk,coconut milk,coconut milk,vegan,0.54,conventional,fresh,
beef broth,beef broth,beef broth,meat,1.78,conventional,fresh,
pea veggie burger,pea veggie burger,pea veggie burger,vegetarian,1.8,conventional,fresh,
soy veggie burger,soy veggie burger,soy veggie burger,vegetarian,1.1,conventional,fresh,
peanut butter,peanut butter,peanut butter,vegetarian,2.0,conventional,fresh,
pastry,pastry,pastry,vegetarian,1.6,conventional,fresh,
puff pastry,puff pastry,puff pastry,vegetarian,1.6,conventional,fresh,
veggie nugget,veggie nugget,veggie nugget,vegetarian,1.3,conventional,fresh,
veggie patty,veggie patty,veggie patty,vegetarian,1.3,conventional,fresh,
gnocchi,gnocchi,gnocchi,vegetarian,0.6,conventional,fresh,
chicken nuggets,chicken nuggets,chicken nuggets,meat,3.3,conventional,fresh,
chicken cold cuts,chicken cold cuts,chicken cold cuts,meat,2.9,conventional,fresh,
coffee powder,coffee powder,coffee powder,vegan,5.6,conventional,fresh,
cocoa powder,cocoa powder,cocoa powder,vegan,5.0,conventional,fresh,
Emmentaler,Emmentaler,Emmentaler,vegetarian,6.0,conventional,fresh,
parmesan,parmesan,parmesan,vegetarian,6.3,conventional,fresh,
lupin flour,lupin flour,lupin flour,vegan,0.4,conventional,fresh,
spelt drink,spelt drink,spelt drink,vegan,0.3,conventional,fresh,
oat drink,oat drink,oat drink,vegan,0.3,conventional,fresh,
almond drink,almond drink,almond drink,vegan,0.3,conventional,fresh,
mineral water,mineral water,mineral water,vegan,0.28571429,conventional,fresh,
soy curd,soy curd,soy curd,vegan,0.7,conventional,fresh,
beef mince,beef mince,beef mince,meat,9.2,conventional,fresh,
apple juice,apple juice,apple juice,vegan,0.4,conventional,fresh,
orange juice,orange juice,orange juice,vegan,0.7,conventional,fresh,
chocolate,chocolate,chocolate,vegetarian,4.1,conventional,fresh,
dark chocolate,dark chocolate,dark chocolate,vegetarian,4.1,conventional,fresh,
milk chocolade,milk chocolade,milk chocolade,vegetarian,4.1,conventional,fresh,
white chocolate,white chocolate,white chocolate,vegetarian,4.1,conventional,fresh,
tempeh,tempeh,tempeh,vegetarian,0.7,conventional,fresh,
venison,venison,venison,meat,11.5,conventional,fresh,
vegan sausage,vegan sausage,vegan sausage,vegan,1.7,conventional,fresh,
Thuringian sausage,Thuringian sausage,Thuringian sausage,meat,2.9,conventional,fresh,
beef cold cuts,beef cold cuts,beef cold cuts,meat,7.9,conventional,fresh,
ham,ham,ham,meat,3.23,conventional,fresh,
bacon,bacon,bacon,meat,3.23,conventional,fresh,
cashew,cashew,cashew,vegan,4.79853157,conventional,fresh,
chestnut,chestnut,chestnut,vegan,2.80979155,conventional,fresh,
hazelnut,hazelnut,hazelnut,vegan,1.77688839,conventional,fresh,
pistachio,pistachio,pistachio,vegan,3.0648319,conventional,fresh,
artichoke,artichoke,artichoke,vegan,1.01155642,conventional,fresh,
Jerusalem artichoke,Jerusalem artichoke,Jerusalem artichoke,vegan,1.01155642,conventional,fresh,
chicory,chicory,chicory,vegan,0.59248494,conventional,fresh,
endive,endive,endive,vegan,0.59248494,conventional,fresh,
cheddar,cheddar,cheddar,vegetarian,15.1549862,conventional,fresh,
quinoa,quinoa,quinoa,vegan,0.65,conventional,fresh,
almond,almond,almond,vegan,2.25,conventional,fresh,
apple,apple,apple,vegan,0.437,conventional,fresh,
crab apple,crab apple,crab apple,vegan,0.437,conventional,fresh,
fuji apple,fuji apple,fuji apple,vegan,0.437,conventional,fresh,
apricot,apricot,apricot,vegan,0.314,conventional,fresh,
eggplant,eggplant,eggplant,vegan,4.59,conventional,fresh,
avocado,avocado,avocado,vegan,0.956,conventional,fresh,
banana,banana,banana,vegan,0.395,conventional,fresh,
barley,barley,barley,vegan,0.602,conventional,fresh,
pearl barley,pearl barley,pearl barley,vegan,0.602,conventional,fresh,
barley,barley,barley,vegan,0.363,organic,fresh,
barley,barley,barley,vegan,0.415,Swiss integrated production,fresh,
broccoli,broccoli,broccoli,vegan,0.53,conventional,fresh,
butter,butter,butter,vegetarian,8.49,conventional,fresh,
buttermilk,buttermilk,buttermilk,vegetarian,3.73,conventional,fresh,
red cabbage,red cabbage,red cabbage,vegan,0.415,conventional,fresh,
bok choy,bok choy,bok choy,vegan,0.407,conventional,fresh,
white cabbage,white cabbage,white cabbage,vegan,0.407,conventional,fresh,
baby carrot,baby carrot,baby carrot,vegan,0.265,conventional,fresh,
carrot,carrot,carrot,vegan,0.265,conventional,fresh,
beef,beef,beef,meat,14.9,conventional,fresh,
cauliflower,cauliflower,cauliflower,vegan,0.486,conventional,fresh,
celeriac,celeriac,celeriac,vegan,0.552,conventional,fresh,
celery,celery,celery,vegan,0.552,conventional,fresh,
cheese,cheese,cheese,vegetarian,14.9,conventional,fresh,
chicken,chicken,chicken,meat,2.48,conventional,fresh,
cocoa beans,cocoa beans,cocoa beans,vegan,19.7,conventional,fresh,
coconut oil,coconut oil,coconut oil,vegan,2.98,conventional,fresh,
coconut,coconut,coconut,vegan,0.912,conventional,fresh,
coffee,coffee,coffee,vegan,3.0,conventional,fresh,
coffee beans,coffee beans,coffee beans,vegan,7.75,conventional,fresh,
cottonseed oil,cottonseed oil,cottonseed oil,vegan,1.82,conventional,fresh,crude
cottonseed oil,cottonseed oil,cottonseed oil,vegan,2.05,conventional,fresh,refined
full cream milk,full cream milk,full cream milk,vegetarian,1.98,conventional,fresh,
milk,milk,milk,vegetarian,1.98,conventional,fresh,
half cream,half cream,half cream,vegetarian,2.99,conventional,fresh,
cream,cream,cream,vegetarian,2.99,conventional,fresh,
sour cream,sour cream,sour cream,vegetarian,2.99,conventional,fresh,
cucumber,cucumber,cucumber,vegan,3.38,conventional,fresh,
beans,beans,beans,vegan,0.711,organic,fresh,
black beans,black beans,black beans,vegan,0.711,organic,fresh,
borlotti beans,borlotti beans,borlotti beans,vegan,0.711,organic,fresh,
broad beans,broad beans,broad beans,vegan,0.711,organic,fresh,
fava beans,fava beans,fava beans,vegan,0.711,organic,fresh,
green beans,green beans,green beans,vegan,0.711,organic,fresh,
kidney beans,kidney beans,kidney beans,vegan,0.711,organic,fresh,
mung beans,mung beans,mung beans,vegan,0.711,conventional,fresh,
navy beans,navy beans,navy beans,vegan,0.711,conventional,fresh,
pinto beans,pinto beans,pinto beans,vegan,0.711,organic,fresh,
runner beans,runner beans,runner beans,vegan,0.711,organic,fresh,
beans,beans,beans,vegan,0.537,Swiss integrated production,fresh,
black beans,black beans,black beans,vegan,0.537,Swiss integrated production,fresh,
borlotti beans,borlotti beans,borlotti beans,vegan,0.537,Swiss integrated production,fresh,
broad beans,broad beans,broad beans,vegan,0.537,Swiss integrated production,fresh,
fava beans,fava beans,fava beans,vegan,0.537,Swiss integrated production,fresh,
green beans,green beans,green beans,vegan,0.537,Swiss integrated production,fresh,
kidney beans,kidney beans,kidney beans,vegan,0.537,Swiss integrated production,fresh,
mung beans,mung beans,mung beans,vegan,0.537,Swiss integrated production,fresh,
navy beans,navy beans,navy beans,vegan,0.537,Swiss integrated production,fresh,
pinto beans,pinto beans,pinto beans,vegan,0.537,Swiss integrated production,fresh,
runner beans,runner beans,runner beans,vegan,0.537,Swiss integrated production,fresh,
fennel,fennel,fennel,vegan,0.498,conventional,fresh,
fish oil,fish oil,fish oil,meat,1.2,conventional,fresh,
fish,fish,fish,meat,0.55,conventional,fresh,
barracuda,barracuda,barracuda,meat,0.55,conventional,fresh,
basa,basa,basa,meat,0.55,conventional,fresh,
bass,bass,bass,meat,0.55,conventional,fresh,
black cod,black cod,black cod,meat,0.55,conventional,fresh,
